               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.032757,            0.014571,           0.0074822,             0.94865,             0.93629,             0.96269,             0.72629,            0.015279,           0.0064956,           0.0017923,           0.0077725,           0.0077725,           0.0077725
                  92,            0.032661,            0.014515,           0.0070499,             0.95303,             0.93488,             0.96281,             0.72571,            0.015267,           0.0064945,           0.0018006,           0.0077478,           0.0077478,           0.0077478
                  93,            0.032635,            0.014174,           0.0076067,             0.95586,             0.93537,             0.96263,              0.7261,             0.01526,           0.0064931,           0.0018017,            0.007723,            0.007723,            0.007723
                  94,            0.032547,            0.014443,           0.0070201,             0.95401,             0.93713,             0.96245,             0.72566,            0.015246,           0.0064914,           0.0017887,           0.0076983,           0.0076983,           0.0076983
                  95,            0.032488,            0.014443,           0.0069234,             0.95336,             0.93788,             0.96284,             0.72579,            0.015239,           0.0064922,           0.0017627,           0.0076735,           0.0076735,           0.0076735
                  96,            0.032885,            0.014719,           0.0078357,             0.95269,             0.93757,             0.96273,             0.72634,            0.015228,            0.006491,           0.0017585,           0.0076488,           0.0076488,           0.0076488
                  97,            0.032882,            0.014733,            0.007538,             0.95357,             0.93753,             0.96245,             0.72634,            0.015229,           0.0064948,           0.0017637,            0.007624,            0.007624,            0.007624
                  98,            0.032518,            0.014399,           0.0072191,             0.95313,             0.93798,              0.9625,              0.7256,            0.015232,           0.0064959,           0.0017618,           0.0075993,           0.0075993,           0.0075993
                  99,            0.032038,            0.014593,           0.0065009,              0.9529,             0.93773,             0.96246,             0.72504,            0.015232,           0.0064959,           0.0017596,           0.0075745,           0.0075745,           0.0075745
                 100,            0.032175,            0.014494,           0.0073539,             0.95283,               0.938,             0.96233,             0.72518,            0.015228,           0.0064972,           0.0017596,           0.0075498,           0.0075498,           0.0075498
                 101,            0.032583,            0.014358,           0.0069645,             0.95306,             0.93849,             0.96237,             0.72537,            0.015223,           0.0064967,           0.0017548,            0.007525,            0.007525,            0.007525
                 102,            0.032334,            0.014579,            0.006769,             0.95112,             0.93874,             0.96247,             0.72562,            0.015221,           0.0064948,           0.0017394,           0.0075003,           0.0075003,           0.0075003
                 103,             0.03234,            0.014226,           0.0065298,             0.95177,              0.9374,             0.96243,             0.72592,            0.015217,           0.0064929,           0.0017151,           0.0074755,           0.0074755,           0.0074755
                 104,            0.031762,            0.014235,           0.0067737,             0.95036,             0.93817,             0.96227,             0.72614,            0.015214,           0.0064905,           0.0017043,           0.0074507,           0.0074507,           0.0074507
                 105,            0.031872,            0.014536,           0.0062912,             0.95045,             0.93808,              0.9624,             0.72568,            0.015207,           0.0064887,           0.0016946,            0.007426,            0.007426,            0.007426
                 106,            0.031616,            0.014128,           0.0061919,             0.94957,             0.93977,             0.96249,             0.72614,              0.0152,           0.0064869,           0.0016857,           0.0074013,           0.0074013,           0.0074013
                 107,            0.031786,             0.01423,           0.0061545,             0.94918,             0.93855,             0.96247,             0.72622,            0.015195,           0.0064862,           0.0016816,           0.0073765,           0.0073765,           0.0073765
                 108,            0.031656,            0.014322,           0.0063846,              0.9486,             0.93947,             0.96218,             0.72633,            0.015188,           0.0064839,           0.0016771,           0.0073517,           0.0073517,           0.0073517
                 109,            0.031605,            0.014367,           0.0058635,             0.94773,             0.93861,             0.96216,             0.72624,            0.015177,           0.0064811,           0.0016773,            0.007327,            0.007327,            0.007327
                 110,            0.031849,            0.014128,           0.0058455,             0.94793,             0.93909,             0.96273,             0.72711,            0.015171,             0.00648,            0.001669,           0.0073023,           0.0073023,           0.0073023
                 111,            0.031722,             0.01422,           0.0063408,             0.94889,             0.93879,             0.96245,             0.72678,            0.015169,           0.0064797,           0.0016678,           0.0072775,           0.0072775,           0.0072775
                 112,            0.031755,            0.014243,           0.0068973,              0.9491,             0.93927,             0.96237,             0.72677,            0.015163,           0.0064792,           0.0016649,           0.0072527,           0.0072527,           0.0072527
                 113,            0.031434,            0.014196,           0.0062694,             0.94913,             0.93911,             0.96231,             0.72697,            0.015157,           0.0064793,           0.0016688,            0.007228,            0.007228,            0.007228
                 114,            0.031564,            0.014104,           0.0063732,             0.94903,             0.93913,              0.9623,             0.72663,            0.015155,           0.0064761,           0.0016719,           0.0072033,           0.0072033,           0.0072033
                 115,            0.031367,            0.014046,            0.006339,             0.94908,             0.93921,              0.9622,             0.72666,            0.015152,           0.0064757,           0.0016712,           0.0071785,           0.0071785,           0.0071785
                 116,            0.032142,            0.014443,           0.0071213,             0.94875,             0.93971,             0.96225,             0.72674,            0.015153,           0.0064746,           0.0016676,           0.0071538,           0.0071538,           0.0071538
                 117,            0.031903,            0.014032,           0.0064823,             0.94954,             0.93896,             0.96228,             0.72692,            0.015154,           0.0064723,           0.0016622,            0.007129,            0.007129,            0.007129
                 118,             0.03169,            0.014143,            0.006488,             0.95005,             0.93908,             0.96229,             0.72648,            0.015153,           0.0064728,           0.0016562,           0.0071042,           0.0071042,           0.0071042
                 119,            0.031666,            0.014244,           0.0060934,             0.95111,             0.93723,             0.96231,             0.72714,            0.015153,           0.0064717,            0.001656,           0.0070795,           0.0070795,           0.0070795
                 120,            0.031329,            0.013878,           0.0059301,             0.95077,              0.9355,             0.96219,             0.72671,            0.015149,           0.0064713,           0.0016541,           0.0070547,           0.0070547,           0.0070547
                 121,            0.031459,            0.014208,            0.006456,             0.95022,             0.93627,              0.9622,             0.72693,            0.015148,           0.0064688,           0.0016461,             0.00703,             0.00703,             0.00703
                 122,            0.031409,            0.014035,           0.0062988,             0.94881,             0.93876,             0.96221,             0.72731,             0.01515,            0.006468,           0.0016395,           0.0070053,           0.0070053,           0.0070053
                 123,            0.031341,            0.014341,             0.00639,             0.94939,             0.93879,              0.9623,             0.72752,            0.015145,            0.006467,            0.001628,           0.0069805,           0.0069805,           0.0069805
                 124,            0.031436,            0.014218,           0.0065973,             0.94997,             0.93855,             0.96251,             0.72703,            0.015145,           0.0064656,           0.0016215,           0.0069558,           0.0069558,           0.0069558
